id_indicator,id_attribute
1,2
1,3
1,15
1,17
2,1
2,3
2,13
3,1
3,3
3,13
4,1
4,3
5,1
5,3
6,1
6,3
7,1
7,3
8,1
8,2
8,6
9,2
9,3
9,6
10,2
10,3
10,6
11,1
12,3
13,3
14,2
14,3
15,2
15,3
16,1
16,2
16,6
16,17
17,2
17,3
17,6
17,17
18,2
18,3
18,6
18,17
19,2
19,3
19,13
19,17
20,2
20,3
20,13
20,17
21,1
21,2
21,3
21,14
21,17
22,1
22,2
22,3
22,14
22,17
23,1
23,3
24,1
24,3
25,1
25,3
26,1
26,3
27,1
27,2
27,3
27,17
28,1
28,2
28,3
28,17
29,1
29,2
29,3
29,17
30,1
30,2
30,3
30,17
31,1
31,2
31,3
31,15
31,17
32,1
32,2
32,3
32,15
32,17
33,3
33,4
34,3
35,1
35,2
35,3
35,15
35,17
36,1
36,2
36,3
36,15
36,17
37,1
37,2
37,3
37,15
37,17
38,1
38,2
38,3
38,17
39,1
39,2
39,3
39,17
40,1
40,2
40,3
40,17
41,1
41,2
41,3
41,15
41,17
42,1
42,2
42,3
42,15
42,17
43,1
43,2
43,3
43,15
43,17
44,1
44,2
44,3
44,17
45,1
45,2
45,3
45,17
46,2
46,3
46,15
46,17
47,2
47,3
47,15
47,17
48,1
48,2
48,3
48,17
49,1
49,3
49,4
50,3
50,4
51,1
51,2
51,3
51,4
51,14
51,17
52,2
52,3
52,4
52,14
52,17
53,1
53,3
54,1
54,3
55,1
55,3
56,1
56,3
57,1
57,2
57,3
57,14
57,17
58,1
58,2
58,3
58,14
58,17
59,1
59,2
59,3
59,17
60,1
60,2
60,3
60,17
61,1
61,2
61,3
61,17
62,1
62,2
62,3
62,17
63,1
63,2
63,3
63,17
64,2
64,3
64,15
64,17
65,1
65,3
65,13
66,1
66,3
67,1
67,3
68,2
68,3
68,6
69,3
70,2
70,3
71,2
71,3
71,6
71,17
72,2
72,3
72,13
72,17
73,1
73,2
73,3
73,14
73,17
74,1
74,3
75,1
75,3
76,1
76,2
76,3
76,17
77,1
77,2
77,3
77,17
78,1
78,2
78,3
78,15
78,17
79,3
79,4
80,2
80,3
80,4
80,14
80,17
81,1
81,3
82,1
82,3
83,1
83,2
83,3
83,14
83,17
84,1
84,2
84,3
84,17
85,1
85,2
85,3
85,17
86,2
86,3
86,5
86,17
87,2
87,3
87,6
87,17
88,3
88,6
89,3
89,6
90,3
90,6
91,3
91,6
92,2
92,3
92,15
92,17
93,2
93,3
93,7
93,17
94,2
94,3
94,8
94,17
95,2
95,3
95,8
95,14
95,17
96,2
96,3
96,15
96,17
97,2
97,3
97,15
97,17
98,2
98,3
98,15
98,17
99,1
99,2
99,3
99,15
99,17
100,1
100,2
100,3
100,15
100,17
101,1
101,2
101,3
101,15
101,17
102,3
102,9
103,3
103,10
104,1
104,3
105,1
105,2
105,3
105,17
106,1
106,3
107,1
107,3
108,2
108,3
108,17
108,19
109,3
109,11
110,1
110,2
110,3
110,14
110,17
111,1
111,2
111,3
112,3
112,12
113,3
113,12
114,1
114,2
114,3
114,14
114,17
115,1
115,2
115,3
115,17
116,1
116,2
116,3
116,17
117,1
117,2
117,3
117,17
118,1
118,2
118,3
118,17
119,1
119,2
119,3
119,17
120,1
120,2
120,3
120,17
121,1
121,2
121,3
121,17
122,1
122,2
122,3
122,15
122,17
123,3
123,13
124,3
124,13
125,2
125,3
125,15
125,17
126,2
126,3
126,15
126,17
127,1
127,2
127,3
127,15
