id_indicator,id_parameter,position
1,7,1
2,7,1
3,9,1
4,7,1
5,9,1
6,7,1
7,9,1
8,5,1
9,7,1
10,9,1
11,5,1
12,7,1
13,9,1
14,7,1
15,9,1
16,5,1
16,10,2
17,7,1
17,10,2
18,9,1
18,10,2
19,7,1
19,12,2
20,9,1
20,12,2
21,7,1
21,1,2
22,9,1
22,1,2
23,7,1
23,1,2
24,9,1
24,1,2
25,7,1
25,1,2
26,9,1
26,1,2
27,7,1
27,1,2
28,9,1
28,1,2
29,7,1
29,1,2
30,9,1
30,1,2
31,7,1
31,1,2
32,9,1
32,1,2
33,9,1
34,9,1
35,9,1
35,5,2
35,8,3
36,9,1
36,5,2
36,13,3
37,9,1
37,5,2
37,8,3
37,13,4
38,9,1
38,5,2
39,9,1
39,5,2
40,9,1
41,9,1
41,5,2
41,8,3
42,9,1
42,5,2
42,13,3
43,9,1
43,5,2
43,8,3
43,13,4
44,9,1
44,5,2
45,9,1
45,5,2
46,9,1
46,15,2
47,9,1
47,15,2
48,9,1
49,5,1
50,9,1
51,5,1
52,9,1
53,7,1
53,3,2
54,9,1
54,3,2
55,7,1
55,3,2
56,9,1
56,3,2
57,7,1
57,2,2
58,9,1
58,2,2
59,7,1
60,9,1
61,5,1
62,7,1
63,9,1
64,9,1
65,9,1
66,9,1
67,9,1
68,9,1
69,9,1
70,9,1
71,9,1
71,10,2
72,9,1
72,12,2
73,9,1
73,1,2
74,9,1
74,1,2
75,9,1
75,1,2
76,9,1
76,1,2
77,9,1
77,1,2
78,9,1
78,1,2
79,9,1
80,9,1
81,9,1
81,3,2
82,9,1
82,3,2
83,9,1
83,2,2
84,9,1
85,9,1
86,9,1
87,9,1
88,9,1
89,9,1
90,9,1
91,9,1
92,9,1
93,9,1
94,9,1
95,9,1
96,9,1
97,9,1
97,15,2
98,9,1
98,15,2
99,9,1
99,5,2
100,9,1
100,6,2
100,5,3
101,9,1
101,5,2
102,9,1
103,9,1
104,9,1
104,1,2
105,9,1
105,1,2
106,9,1
107,9,1
108,9,1
109,9,1
110,9,1
110,2,2
111,9,1
112,9,1
113,9,1
114,9,1
115,9,1
116,9,1
117,9,1
117,15,2
118,9,1
118,14,2
119,9,1
120,9,1
121,9,1
121,15,2
122,9,1
123,9,1
124,9,1
125,9,1
126,9,1
127,9,1
127,6,2
127,5,3
128,9,1
129,9,1
130,9,1
131,9,1
132,9,1
133,9,1
134,9,1
135,9,1
136,9,1
136,4,2
137,9,1
137,4,2
138,9,1
138,4,2
139,9,1
139,4,2
140,9,1
141,9,1
142,9,1
142,6,2
142,5,3
143,9,1
144,5,1
145,7,1
146,9,1
147,11,1
148,11,1
149,7,1
150,9,1
151,5,1
152,7,1
153,9,1
154,5,1
155,7,1
156,9,1
157,5,1
158,7,1
159,9,1
160,5,1
161,7,1
162,9,1
163,7,1
164,5,1
165,7,1
166,9,1
167,11,1
168,11,1
169,5,1
170,7,1
171,9,1
172,5,1
173,7,1
174,9,1
175,11,1
176,11,1
177,11,1
178,5,1
179,7,1
180,9,1
181,11,1
182,9,1
183,7,1
183,15,2
184,7,1
184,15,2
185,7,1
185,5,2
186,7,1
186,6,2
186,5,3
187,7,1
187,5,2
188,7,1
189,9,1
190,7,1
191,9,1
192,7,1
192,1,2
193,9,1
193,1,2
194,7,1
194,1,2
195,9,1
195,1,2
196,7,1
197,9,1
198,7,1
199,9,1
200,5,1
201,7,1
202,9,1
203,11,1
204,11,1
205,7,1
206,7,1
206,2,2
207,9,1
207,2,2
208,7,1
209,9,1
210,5,1
211,7,1
212,9,1
213,5,1
214,7,1
215,9,1
216,5,1
217,7,1
218,9,1
219,5,1
220,7,1
221,9,1
222,5,1
223,7,1
224,9,1
225,5,1
225,15,2
226,7,1
226,15,2
227,9,1
227,15,2
228,7,1
228,14,2
229,9,1
229,14,2
230,5,1
231,7,1
232,9,1
233,5,1
234,7,1
235,9,1
236,5,1
236,15,2
237,7,1
237,15,2
238,9,1
238,15,2
239,5,1
240,7,1
241,9,1
242,9,1
243,7,1
244,9,1
245,7,1
246,9,1
247,5,1
248,7,1
249,9,1
250,11,1
251,5,1
252,7,1
253,9,1
254,11,1
255,7,1
255,6,2
255,5,3
256,9,1
256,6,2
256,5,3
257,5,1
258,7,1
259,9,1
260,11,1
261,5,1
262,7,1
263,9,1
264,11,1
265,5,1
266,7,1
267,9,1
268,5,1
269,9,1
270,5,1
271,7,1
272,9,1
273,11,1
274,5,1
275,7,1
276,9,1
277,11,1
278,5,1
279,7,1
280,9,1
281,11,1
282,11,1
283,11,1
284,7,1
285,9,1
286,7,1
286,4,2
287,9,1
287,4,2
288,7,1
288,4,2
289,9,1
289,4,2
290,7,1
290,4,2
291,9,1
291,4,2
292,7,1
292,4,2
293,9,1
293,4,2
294,5,1
295,7,1
296,9,1
297,11,1
298,11,1
299,7,1
300,9,1
301,9,1
302,5,1
303,7,1
304,11,1
305,7,1
305,6,2
305,5,3
306,7,1
307,9,1
