id_indicator,id_reference
1,6
1,30
2,5
3,5
4,3
5,3
6,3
7,3
8,5
9,5
10,5
11,26
11,3
12,26
12,3
13,26
13,3
14,26
14,3
15,26
15,3
16,3
17,3
18,3
19,3
20,3
21,26
22,26
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,26
32,26
33,3
34,14
34,23
34,29
35,3
36,3
37,3
38,26
38,28
38,17
38,19
38,27
38,20
38,33
38,31
38,13
38,25
38,1
38,21
38,34
40,3
41,3
42,3
43,3
44,26
44,28
44,17
44,19
44,27
44,20
44,33
44,31
44,13
44,25
44,15
44,1
44,21
44,34
46,17
46,19
46,22
46,27
46,18
47,17
47,19
47,22
47,27
47,18
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,4
58,4
59,1
60,1
61,1
62,1
63,1
64,6
64,30
65,5
66,3
67,3
68,5
69,26
69,3
70,26
70,3
71,3
72,3
73,26
74,3
75,3
76,3
77,3
78,26
79,3
80,3
81,3
82,3
83,4
84,1
85,1
86,7
86,4
87,3
88,1
88,8
88,3
89,1
89,8
89,3
90,1
90,8
90,3
91,1
91,8
91,3
92,28
92,5
92,20
93,33
93,31
93,2
93,21
94,3
94,2
94,7
94,8
95,2
96,26
96,14
96,29
96,30
96,3
96,28
96,19
96,27
96,5
96,20
96,11
96,33
96,31
96,16
96,13
96,25
96,35
97,3
97,10
98,3
98,10
100,26
100,14
100,29
100,33
100,25
100,15
100,1
101,15
101,1
102,22
103,3
104,3
105,3
107,3
107,5
107,7
108,27
109,26
109,28
109,17
109,19
109,27
109,5
109,20
109,33
109,31
109,13
109,25
109,1
109,2
109,7
109,21
109,9
109,34
110,31
110,4
111,3
112,1
112,8
113,1
113,8
114,10
115,3
115,1
116,3
116,1
117,3
118,1
119,3
119,1
120,3
120,1
121,3
122,27
122,24
122,32
123,3
124,3
125,30
125,2
126,6
126,30
126,3
126,28
126,5
126,20
126,33
126,35
126,10
126,15
126,1
126,7
128,27
129,27
130,26
130,23
130,6
130,3
130,28
130,17
130,19
130,22
130,27
130,20
130,16
130,13
130,10
130,1
130,21
130,9
131,3
132,19
132,33
133,10
133,4
134,19
134,33
135,31
136,3
136,2
137,3
137,2
138,3
138,2
139,3
139,2
140,7
140,4
141,29
141,30
141,3
141,28
141,13
141,25
141,12
142,1
143,10
144,7
144,4
145,7
145,4
146,7
146,4
147,7
147,4
148,7
148,4
149,3
150,26
151,1
151,8
151,3
152,1
152,8
152,3
153,1
153,8
153,3
154,1
154,8
154,3
155,1
155,8
155,3
156,1
156,8
156,3
157,1
157,8
157,3
158,1
158,8
158,3
159,1
159,8
159,3
160,1
160,8
160,3
161,1
161,8
161,3
162,1
162,8
162,3
163,28
163,5
163,20
164,33
164,31
164,2
164,21
165,33
165,31
165,2
165,21
166,33
166,31
166,2
166,21
167,33
167,31
167,2
167,21
168,33
168,31
168,2
168,21
169,3
169,2
169,7
169,8
170,3
170,2
170,7
170,8
171,3
171,2
171,7
171,8
172,2
173,2
174,2
175,2
176,3
176,2
176,7
176,8
177,3
177,2
177,7
177,8
178,26
178,14
178,29
178,30
178,3
178,28
178,19
178,27
178,5
178,20
178,11
178,33
178,31
178,16
178,13
178,25
178,35
179,26
179,14
179,29
179,30
179,3
179,28
179,19
179,27
179,5
179,20
179,11
179,33
179,31
179,16
179,13
179,25
179,35
180,26
180,14
180,29
180,30
180,3
180,28
180,19
180,27
180,5
180,20
180,11
180,33
180,31
180,16
180,13
180,25
180,35
181,26
181,14
181,29
181,30
181,3
181,28
181,19
181,27
181,5
181,20
181,11
181,33
181,31
181,16
181,13
181,25
181,35
