id_parameter,symbol,name,domain,constraint,parameter_type,description
1,Autl,list of automated activities,⊆ A,,extra_input,
2,DCl,list of direct cost activities,⊆ A,,extra_input,
3,Desl,list of desirable activities,⊆ A,,extra_input,
4,Unwl,list of unwanted activities,⊆ A,,extra_input,
5,a,activity,A,,extra_input,
6,b,activity (second),A,\mathit{a \neq \mathit{b,extra_input,
7,c,case,C,\mathit{sub \subseteq A \colon; \mathit{sub \neq \emptyset,required_attribute,
8,et,end timestamp,T,\mathit{st < \mathit{et,extra_input,
9,g,group of cases,⊆ C,g \neq \emptyset,required_attribute,
10,hr,human resource,U_hres,,extra_input,
11,i,activity instance,I,,required_attribute,
12,rl,role,U_role,,extra_input,
13,st,start timestamp,T,,extra_input,
14,sub,subset of activities,⊆ A,,extra_input,
15,val,numeric value,ℝ,,extra_input,
