id_reference,citation_key,authors,title,year,source
1,RN4125,"Cho, Minsu and Song, Minseok and Park, Junhyun and Yeom, Seok-Ran and Wang, Il-Jae and Choi, Byung-Kwan",Process mining-supported emergency room process performance indicators,2020,International Journal of Environmental Research and Public Health
2,RN4131,"Kis, Isabella and Bachhofner, Stefan and Di Ciccio, Claudio and Mendling, Jan",Towards a data-driven framework for measuring process performance,2017,"International Workshop on Business Process Modeling, Development and Support, International Conference on Evaluation and Modeling Methods of Systems Analysis and Development"
3,RN4134,"van den Ingh, Lucas O.",Evaluating business process performance based on process mining,2016,Eindhoven University of Technology
4,RN4146,"Karadgi, Sachin",A reference architecture for real-time performance measurement,2014,Springer
5,RN4150,"de Kort, Jip",Business entity lifecycle modelling in simulation-aided analysis: A case study,2015,Eindhoven University of Technology
6,RN4153,"Meier, Christoph and Browning, Tyson R and Yassine, Ali A and Walter, Ulrich",The cost of speed: Work policies for crashing and overlapping in product development projects,2015,IEEE Transactions on Engineering Management
7,RN4155,"Haberberger, Nicole",Data linkage of internal sensor data with external data sources and analysis of generated relationships under usage of distributed systems,2019,Technische Universität Wien
8,RN4159,"Berk, Joseph",Cost reduction and optimization for manufacturing and industrial companies,2010,John Wiley & Sons
9,RN4161,"Lima Junior, Francisco Rodrigues and Carvalho, Giovani Mantovani Roza and Carpinetti, Luiz Cesar Ribeiro",A methodology based on fuzzy inference and SCOR® model for supplier performance evaluation,2016,Gestão & Produção
10,RN4162,"Oman, Simon and Leskovar, Robert and Rosi, Bojan and Baggia, Alenka",Integration of MES and ERP in Supply Chains: Effect Assessment in the Case of the Automotive Industry,2017,Tehnicki vjesnik/Technical Gazette
11,RN4187,"Bakx, Lonneke",The Final Order Problem for Non-Repairable Items at Vanderlande Industries,2010,Eindhoven University of Technology
12,RN4290,"Rinaldi, Marta and Montanari, Roberto and Bottani, Eleonora",Improving the efficiency of public administrations through business process reengineering and simulation,2015,Business Process Management Journal
13,RN4291,"Lehnert, Martin and Linhart, Alexander and Röglinger, Maximilian",Chopping down trees vs. sharpening the axe–Balancing the Development of BPM Capabilities with Process Improvement,2014,Business Process Management: 12th International Conference
14,RN4292,"del-Río-Ortega, Adela and Resinas, Manuel and Cabanillas, Cristina and Ruiz-Cortés, Antonio",On the definition and design-time analysis of process performance indicators,2013,Information Systems
15,RN4293,"Balaban, Neđo and Belić, Katarina and Gudelj, Marko",Business process performance management: Theoretical and methodological approach and implementation,2011,Management Information Systems
16,RN4294,"Han, Kwan Hee and Choi, Sang Hyun and Kang, Jin Gu and Lee, Geon",Performance-centric business activity monitoring framework for continuous process improvement,2010,Proc. WSEAS
17,RN4295,"Bosilj-Vuksic, Vesna and Milanovic, Ljubica and Indihar-Stemberger, Mojca",Organizational performance measures for business process management: A performance measurement guideline,2008,Tenth International Conference on Computer Modeling and Simulation
18,RN4296,"Wetzstein, Branimir and Ma, Zhilei and Leymann, Frank",Towards measuring key performance indicators of semantic business processes,2008,11th International Conference on Business Information Systems
19,RN4297,"Glavan, Ljubica Milanović",Understanding process performance measurement systems,2011,Business Systems Research: International journal of the Society for Advancing Innovation and Research in Economy
20,RN4298,"Korherr, Birgit and List, Beate",Extending the EPC with performance measures,2007,Proceedings of the 2007 ACM symposium on Applied computing
21,RN4299,"Herzog, Vujica",Performance measurement in business process re-engineering,2006,Strojniski Vestnik
22,RN4300,"Kutucuoglu, KY and Hamali, J and Sharp, JM and Irani, Z",Enabling BPR in maintenance through a performance measurement system framework,2002,International Journal of Flexible Manufacturing Systems
23,RN4301,"Jagdev, H and Bradley, P and Molloy, O",A QFD based performance measurement tool,1997,Computers in industry
24,RN4302,"Mirsu, Diana Betina",Monitoring help desk process using KPI,2013,Soft Computing Applications: Proceedings of the 5th International Workshop Soft Computing Applications
25,RN4303,"Pourshahid, Alireza and Amyot, Daniel and Peyton, Liam and Ghanavati, Sepideh and Chen, Pengfei and Weiss, Michael and Forster, Alan J",Business process management with the user requirements notation,2009,Electronic Commerce Research
26,RN4304,"Longo, Antonella and Motta, Gianmario",Design processes for sustainable performances: a model and a method,2005,"Business Process Management Workshops, International Conference on Business Process Management"
27,RN4305,"Vernadat, François and Shah, Liaqat and Etienne, Alain and Siadat, Ali",VR-PMS: a new approach for performance measurement and management of industrial systems,2013,International Journal of Production Research
28,RN4306,"Chimhamhiwa, Dorman and van der Molen, Paul and Mutanga, Onisimo and Rugege, Denis",Towards a framework for measuring end to end performance of land administration business processes–A case study,2009,"Computers, environment and urban systems"
29,RN4307,"Walsh, Paul",Finding key performance drivers: Some new tools,1996,Total Quality Management
30,RN4308,"Fogarty, Donald W",Work in process: performance measures,1992,International Journal of Production Economics
31,RN4309,"Gunasekaran, Angappa and Kobu, Bulent",Performance measures and metrics in logistics and supply chain management: a review of recent literature (1995–2004) for research and applications,2007,International journal of production research
32,RN4310,"Wu, Hung-Yi",Constructing a strategy map for banking institutions with key performance indicators of the balanced scorecard,2012,Evaluation and program planning
33,RN4311,"Bhagwat, Rajat and Sharma, Milind Kumar",Performance measurement of supply chain management: A balanced scorecard approach,2007,Computers & industrial engineering
34,RN4312,"Spremic, Mario and Zmirak, Zlatan and Kraljevic, Krunoslav",IT and business process performance management: Case study of ITIL implementation in finance service industry,2008,30th International Conference on Information Technology Interfaces
35,RN4313,"van Heck, Guido and van den Berg, Jan and Davarynejad, Mohsen and van Duin, Ron and Roskott, Björn",Improving inventory management performance using a process-oriented measurement framework,2010,International Conference on Enterprise Information Systems
