Slug	Name	Dimension	Granularity	Function_name	Formalization_latex	Formalization_fp	Description_fp
active-time-case-granularity-t-c	Active Time (case granularity)	T	C	\(\mathit{AT}(c)\)	\(\mathit{LT}(c) - \mathit{IT}(c)\)	\(\mathit{LT}(c) - \mathit{IT}(c)\)	"\(\mathit{LT}(c)\) returns the Lead Time (time from case start to completion) of case \(c\).
\newline \(\mathit{IT}(c)\) returns the Idle Time (total time spent waiting or idle) of case \(c\). \\"
activity-and-role-count-ratio-case-granularity-f-c	Activity and Role count Ratio (case granularity)	F	C	\(\mathit{ARoleR}(c)\)	\(\frac{\mathit{A}(c)}{\mathit{Role}(c)}\)	\(\frac{\mathit{A}(c)}{\mathit{Role}(c)}\)	"\(\mathit{A}(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{Role}(c)\) returns the number of unique roles involved in case \(c\). \\"
activity-and-role-count-ratio-group-of-cases-granularity-f-g	Activity and Role count Ratio (group of cases granularity)	F	G	\(\mathit{ARoleR}(g)\)	\(\frac{\mathit{A}(g)}{\mathit{Role}(g)}\)	\(\frac{\mathit{A}(g)}{\mathit{Role}(g)}\)	"\(\mathit{A}(g)\) returns the number of unique activities in group \(g\).
\newline \(\mathit{Role}(g)\) returns the number of unique roles involved in group \(g\). \\"
activity-count-case-granularity-g-c	Activity count (case granularity)	G	C	\(\mathit{A}(c)\)	\(|\mathit{act}(c)|\)	\(\mathit{count}(\mathit{act}(c))\)	$\mathit{act}(c)$ returns the set of unique activities that occur in case $c$. \\
activity-count-group-of-cases-granularity-g-g	Activity count (group of cases granularity)	G	G	\(\mathit{A}(g)\)	\(|\cup_{c \in g} \mathit{act}(c)|\)	\(\mathit{count}(\mathit{act}(g))\)	$\mathit{act}(g)$ returns the set of unique activities that occur in group of cases $g$. \\
activity-count-case-granularity-t-c	Activity count (case granularity)	T	C	\(\mathit{A}(c)\)	\(|\mathit{act}(c)|\)	\(\mathit{count}(\mathit{act}(c))\)	"$\mathit{act}(c)$ returns the set of unique activities that occur in case $c$.
\\"
activity-count-group-of-cases-granularity-t-g	Activity count (group of cases granularity)	T	G	\(\mathit{A}(g)\)	\(|\cup_{c \in g} \mathit{act}(c)|\)	\(\mathit{count}(\mathit{act}(g))\)	"$\mathit{act}(g)$ returns the set of unique activities that occur in group of cases $g$.
\\"
activity-instance-and-human-resource-count-ratio-activity-granularity-f-a	activity Instance and Human Resource count Ratio (activity granularity)	F	A	\(\mathit{IHRR}(a)\)	\(\frac{\mathit{I}(a)}{\mathit{HR}(a)}\)	\(\frac{\mathit{I}(a)}{\mathit{HR}(a)}\)	"\(\mathit{I}(a)\) returns the total number of instances of activity \(a\).
\newline \(\mathit{HR}(a)\) returns the number of unique human resources that performed activity \(a\). \\"
activity-instance-and-human-resource-count-ratio-case-granularity-f-c	activity Instance and Human Resource count Ratio (case granularity)	F	C	\(\mathit{IHRR}(c)\)	\(\frac{\mathit{I}(c)}{\mathit{HR}(c)}\)	\(\frac{\mathit{I}(c)}{\mathit{HR}(c)}\)	"\(\mathit{I}(c)\) returns the total number of activity instances in case \(c\).
\newline \(\mathit{HR}(c)\) returns the number of unique human resources involved in case \(c\). \\"
activity-instance-and-human-resource-count-ratio-group-of-cases-granularity-f-g	activity Instance and Human Resource count Ratio (group of cases granularity)	F	G	\(\mathit{IHRR}(g)\)	\(\frac{\mathit{I}(g)}{\mathit{HR}(g)}\)	\(\frac{\mathit{I}(g)}{\mathit{HR}(g)}\)	"\(\mathit{I}(g)\) returns the total number of activity instances in group \(g\).
\newline \(\mathit{HR}(g)\) returns the number of unique human resources involved in group \(g\). \\"
activity-instance-count-activity-granularity-g-a	activity Instance count (activity granularity)	G	A	\(\mathit{I}(a)\)	\(|\mathit{inst}(a)|\)	\(\mathit{count}(\mathit{inst}(a))\)	$\mathit{inst}(a)$ returns the set of instances of activity $a$ that occur in the event log. \\
activity-instance-count-case-granularity-g-c	activity Instance count (case granularity)	G	C	\(\mathit{I}(c)\)	\(|\mathit{inst}(c)|\)	\(\mathit{count}(\mathit{inst}(c))\)	$\mathit{inst}(c)$ returns the set of activity instances that occur in case $c$.\\
activity-instance-count-group-of-cases-granularity-g-g	activity Instance count (group of cases granularity)	G	G	\(\mathit{I}(g)\)	\(\sum _{c \in g} \mathit{I}(c)\)	\(\sum _{c \in \mathit{cases}(g)} \mathit{I}(c)\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{I}(c)$ returns the activity instance count of case $c$. \\"
activity-instance-count-case-granularity-t-c	activity Instance count (case granularity)	T	C	\(\mathit{I}(c)\)	\(|\mathit{inst}(c)|\)	\(\mathit{count}(\mathit{inst}(c))\)	"$\mathit{inst}(c)$ returns the set of activity instances that occur in case $c$.
\\"
activity-instance-count-group-of-cases-granularity-t-g	activity Instance count (group of cases granularity)	T	G	\(\mathit{I}(g)\)	\(\sum _{c \in g} \mathit{I}(c)\)	\(\sum_{c \in \mathit{cases}(g)} \mathit{I}(c)\)	"$\mathit{cases}(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{I}(c)$ returns the activity instance count of case $c$.
\\"
activity-instance-count-by-human-resource-activity-granularity-q-a	activity Instance count by Human Resource (activity granularity)	Q	A	\(\mathit{IbyHR}(a, \mathit{hr})\)	\(|\{i \in \mathit{inst}(a) \mid \mathit{hres}(i) = \mathit{hr}\}|\)	"\(\displaystyle \sum_{i \in \mathit{inst}(a)}
\begin{cases}
1 & \text{if } \mathit{hres}(i) = \mathit{hr} \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst}(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{hres}(i)\) returns the human resource associated with activity instance \(i\). \\"
activity-instance-count-by-human-resource-case-granularity-q-c	activity Instance count by Human Resource (case granularity)	Q	C	\(\mathit{IbyHR}(c, \mathit{hr})\)	\(|\{i \in \mathit{inst}(c) \mid \mathit{hres}(i) = \mathit{hr}\}|\)	"\(\displaystyle \sum_{i \in \mathit{inst}(c)}
\begin{cases}
1 & \text{if } \mathit{hres}(i) = \mathit{hr} \\
0 & \text{otherwise}
\end{cases}
\)"	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{hres}(i)\) returns the human resource associated with activity instance \(i\). \\"
